2022년 5월 21일 10시 48분 08초,  윤석렬,  나는 문대통령이 아닙니다.
2020년 5월 20일 18시 30분 32초,  오바마,  푸틴은 이제 전쟁을 멈춰라
2020년 5월 20일 10시 27분 11초,  윤석렬,  국내 경제를 살리기 위해 필요한 모든 자원을 아끼지 않겠습니다.
2020년 5월 16일 21시 14분 00초,  안철수,  세상의 모든 사람들은 자기의 꿈을 살아갈 권리가 있다.
2020년 5월 15일 11시 04분 03초,  오바마,  세상의 모든 사람들은 자기의 꿈을 살아갈 권리가 있다.
2020년 5월 15일 05시 34분 20초,  안철수,  세상의 모든 사람들은 자기의 꿈을 살아갈 권리가 있다.
2020년 5월 14일 21시 24분 03초,  안철수,  세상의 모든 사람들은 자기의 꿈을 살아갈 권리가 있다.
2020년 5월 14일 17시 53분 011,  윤석렬,  세상의 모든 사람들은 자기의 꿈을 살아갈 권리가 있다.
2020년 5월 14일 10시 52분 23초,  윤석렬,  세상의 모든 사람들은 자기의 꿈을 살아갈 권리가 있다.
2020년 5월 12일 23시 17분 05초,  오바마,  세상의 모든 사람들은 자기의 꿈을 살아갈 권리가 있다.
2020년 5월 12일 07시 10분 45초,  바이든,  세상의 모든 사람들은 자기의 꿈을 살아갈 권리가 있다.
2020년 5월 11일 05시 23분 08초,  안철수,  세상의 모든 사람들은 자기의 꿈을 살아갈 권리가 있다.

2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  윤석렬, 제가 지금 대통령이라고요.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
2022년 05월 21일 11시 23분 08초,  안철수, 문대통령은 이제 최고 통수권자가 아닙니다.
